IssuerOrgName,IssuerComName,IssuerCountry,SubjectCountry,SubjectDetails,SubjectAltNames,SubjectValidity,Malicious
DigiCert Inc,DigiCert SHA2 High Assurance Server CA,US,US,3,9,84,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,16,84,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,0,365,0
DigiCert Inc,DigiCert SHA2 High Assurance Server CA,US,US,3,6,83,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,0,84,0
Sectigo Limited,Sectigo ECC Domain Validation Secure Server CA,GB,None,0,0,396,0
DigiCert Inc,DigiCert SHA2 Secure Server CA,US,US,3,25,184,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,3,84,0
Let's Encrypt,R3,US,None,0,0,90,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,16,84,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
DigiCert Inc,DigiCert TLS Hybrid ECC SHA384 2020 CA1,US,US,3,39,386,0
Sectigo Limited,Sectigo ECC Domain Validation Secure Server CA,GB,None,0,0,396,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,94,376,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,364,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,364,0
DigiCert Inc,DigiCert SHA2 Extended Validation Server CA,US,US,7,0,365,0
DigiCert Inc,DigiCert TLS Hybrid ECC SHA384 2020 CA1,US,US,3,0,394,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
Apple Inc.,Apple Public EV Server RSA CA 2 - G1,US,US,8,83,395,0
DigiCert Inc,DigiCert Global CA G2,US,None,0,37,364,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,0,90,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,365,0
Amazon,Amazon RSA 2048 M01,US,None,0,1,394,0
Sectigo Limited,Sectigo ECC Domain Validation Secure Server CA,GB,None,0,0,396,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,0,365,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,0,84,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,0,179,0
GlobalSign nv-sa,GlobalSign Organization Validation CA - SHA256 - G2,BE,RU,3,16,341,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,111,84,0
DigiCert Inc,DigiCert SHA2 High Assurance Server CA,US,US,3,13,199,0
DigiCert Inc,Thawte RSA CA 2018,US,None,0,27,396,0
Amazon,Amazon RSA 2048 M01,US,None,0,11,364,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,1,365,0
GlobalSign nv-sa,GlobalSign GCC R3 DV TLS CA 2020,BE,None,0,0,397,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,1,84,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,1,84,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,0,84,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,SE,2,0,365,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,364,0
Let's Encrypt,R3,US,None,0,0,90,0
Apple Inc.,Apple Public EV Server RSA CA 2 - G1,US,US,8,83,395,0
